,start_year,eruptions
336,-4500.0,7.0
337,-4490.0,1.0
338,-4470.0,1.0
339,-4460.0,2.0
340,-4450.0,13.0
341,-4447.0,1.0
342,-4430.0,3.0
343,-4411.0,1.0
344,-4410.0,1.0
345,-4400.0,5.0
346,-4390.0,1.0
347,-4375.0,1.0
348,-4370.0,1.0
349,-4360.0,2.0
350,-4350.0,10.0
351,-4340.0,1.0
352,-4321.0,1.0
353,-4320.0,1.0
354,-4300.0,4.0
355,-4280.0,2.0
356,-4270.0,2.0
357,-4250.0,9.0
358,-4240.0,1.0
359,-4230.0,1.0
360,-4210.0,1.0
361,-4200.0,3.0
362,-4160.0,1.0
363,-4150.0,12.0
364,-4140.0,1.0
365,-4130.0,1.0
366,-4120.0,1.0
367,-4110.0,2.0
368,-4100.0,4.0
369,-4095.0,1.0
370,-4090.0,1.0
371,-4070.0,1.0
372,-4060.0,2.0
373,-4055.0,1.0
374,-4050.0,26.0
375,-4040.0,2.0
376,-4037.0,1.0
377,-4020.0,1.0
378,-4010.0,2.0
379,-4000.0,9.0
380,-3977.0,1.0
381,-3960.0,1.0
382,-3950.0,5.0
383,-3930.0,2.0
384,-3920.0,1.0
385,-3910.0,1.0
386,-3905.0,1.0
387,-3900.0,5.0
388,-3890.0,2.0
389,-3880.0,2.0
390,-3850.0,8.0
391,-3820.0,1.0
392,-3810.0,2.0
393,-3800.0,3.0
394,-3790.0,2.0
395,-3780.0,1.0
396,-3750.0,9.0
397,-3740.0,2.0
398,-3730.0,2.0
399,-3720.0,2.0
400,-3700.0,4.0
401,-3690.0,2.0
402,-3680.0,1.0
403,-3670.0,1.0
404,-3660.0,1.0
405,-3650.0,7.0
406,-3640.0,1.0
407,-3610.0,1.0
408,-3600.0,3.0
409,-3580.0,5.0
410,-3550.0,20.0
411,-3541.0,1.0
412,-3540.0,2.0
413,-3518.0,1.0
414,-3510.0,4.0
415,-3500.0,10.0
416,-3490.0,3.0
417,-3480.0,2.0
418,-3450.0,9.0
419,-3440.0,1.0
420,-3430.0,1.0
421,-3420.0,1.0
422,-3400.0,2.0
423,-3390.0,2.0
424,-3370.0,2.0
425,-3350.0,7.0
426,-3310.0,1.0
427,-3300.0,1.0
428,-3290.0,1.0
429,-3280.0,2.0
430,-3270.0,1.0
431,-3250.0,13.0
432,-3201.0,1.0
433,-3200.0,6.0
434,-3195.0,1.0
435,-3190.0,2.0
436,-3180.0,3.0
437,-3170.0,2.0
438,-3150.0,5.0
439,-3120.0,2.0
440,-3110.0,1.0
441,-3100.0,2.0
442,-3090.0,2.0
443,-3070.0,2.0
444,-3050.0,26.0
445,-3030.0,2.0
446,-3020.0,2.0
447,-3000.0,5.0
448,-2990.0,3.0
449,-2980.0,1.0
450,-2970.0,1.0
451,-2958.0,1.0
452,-2950.0,8.0
453,-2920.0,2.0
454,-2910.0,1.0
455,-2900.0,8.0
456,-2890.0,1.0
457,-2860.0,1.0
458,-2850.0,11.0
459,-2830.0,2.0
460,-2800.0,7.0
461,-2790.0,1.0
462,-2780.0,2.0
463,-2770.0,1.0
464,-2750.0,12.0
465,-2720.0,1.0
466,-2710.0,1.0
467,-2700.0,6.0
468,-2690.0,1.0
469,-2680.0,1.0
470,-2670.0,2.0
471,-2660.0,2.0
472,-2650.0,9.0
473,-2640.0,2.0
474,-2620.0,1.0
475,-2610.0,1.0
476,-2600.0,3.0
477,-2580.0,3.0
478,-2560.0,1.0
479,-2550.0,16.0
480,-2540.0,2.0
481,-2530.0,3.0
482,-2500.0,5.0
483,-2490.0,2.0
484,-2480.0,1.0
485,-2470.0,1.0
486,-2460.0,3.0
487,-2450.0,9.0
488,-2440.0,3.0
489,-2430.0,1.0
490,-2420.0,2.0
491,-2400.0,3.0
492,-2380.0,1.0
493,-2370.0,3.0
494,-2360.0,1.0
495,-2350.0,5.0
496,-2340.0,1.0
497,-2330.0,2.0
498,-2320.0,1.0
499,-2310.0,2.0
500,-2300.0,7.0
501,-2280.0,1.0
502,-2270.0,2.0
503,-2260.0,2.0
504,-2250.0,13.0
505,-2240.0,3.0
506,-2238.0,1.0
507,-2230.0,2.0
508,-2220.0,4.0
509,-2210.0,2.0
510,-2200.0,5.0
511,-2190.0,1.0
512,-2160.0,2.0
513,-2150.0,9.0
514,-2140.0,1.0
515,-2135.0,1.0
516,-2130.0,1.0
517,-2120.0,2.0
518,-2110.0,3.0
519,-2100.0,7.0
520,-2095.0,1.0
521,-2090.0,1.0
522,-2080.0,3.0
523,-2050.0,32.0
524,-2040.0,5.0
525,-2030.0,1.0
526,-2020.0,2.0
527,-2010.0,3.0
528,-2000.0,13.0
529,-1990.0,2.0
530,-1980.0,3.0
531,-1950.0,7.0
532,-1940.0,2.0
533,-1920.0,4.0
534,-1910.0,1.0
535,-1900.0,6.0
536,-1890.0,5.0
537,-1880.0,1.0
538,-1870.0,2.0
539,-1860.0,3.0
540,-1850.0,10.0
541,-1830.0,4.0
542,-1820.0,2.0
543,-1810.0,3.0
544,-1800.0,10.0
545,-1790.0,2.0
546,-1780.0,1.0
547,-1770.0,3.0
548,-1750.0,11.0
549,-1730.0,1.0
550,-1720.0,1.0
551,-1710.0,1.0
552,-1700.0,9.0
553,-1695.0,1.0
554,-1690.0,1.0
555,-1680.0,2.0
556,-1670.0,2.0
557,-1662.0,1.0
558,-1650.0,16.0
559,-1645.0,1.0
560,-1640.0,1.0
561,-1628.0,1.0
562,-1623.0,1.0
563,-1610.0,3.0
564,-1600.0,3.0
565,-1590.0,1.0
566,-1580.0,3.0
567,-1560.0,2.0
568,-1550.0,19.0
569,-1540.0,3.0
570,-1510.0,4.0
571,-1500.0,7.0
572,-1490.0,1.0
573,-1480.0,1.0
574,-1460.0,1.0
575,-1459.0,1.0
576,-1454.0,1.0
577,-1450.0,12.0
578,-1440.0,2.0
579,-1430.0,1.0
580,-1420.0,2.0
581,-1410.0,1.0
582,-1400.0,4.0
583,-1396.0,1.0
584,-1390.0,1.0
585,-1370.0,1.0
586,-1350.0,12.0
587,-1340.0,1.0
588,-1330.0,3.0
589,-1320.0,4.0
590,-1310.0,4.0
591,-1300.0,5.0
592,-1290.0,2.0
593,-1280.0,2.0
594,-1270.0,2.0
595,-1260.0,1.0
596,-1250.0,15.0
597,-1245.0,1.0
598,-1240.0,1.0
599,-1230.0,2.0
600,-1220.0,1.0
601,-1210.0,1.0
602,-1200.0,12.0
603,-1192.0,1.0
604,-1190.0,2.0
605,-1180.0,4.0
606,-1170.0,3.0
607,-1160.0,2.0
608,-1150.0,16.0
609,-1140.0,4.0
610,-1130.0,3.0
611,-1120.0,2.0
612,-1100.0,7.0
613,-1090.0,1.0
614,-1084.0,1.0
615,-1080.0,5.0
616,-1060.0,2.0
617,-1050.0,26.0
618,-1040.0,2.0
619,-1030.0,2.0
620,-1020.0,2.0
621,-1010.0,8.0
622,-1000.0,3.0
623,-990.0,3.0
624,-980.0,1.0
625,-960.0,2.0
626,-950.0,12.0
627,-940.0,2.0
628,-930.0,4.0
629,-920.0,3.0
630,-900.0,5.0
631,-890.0,1.0
632,-880.0,1.0
633,-870.0,2.0
634,-860.0,1.0
635,-850.0,13.0
636,-830.0,5.0
637,-820.0,2.0
638,-800.0,16.0
639,-790.0,2.0
640,-787.0,1.0
641,-780.0,4.0
642,-778.0,1.0
643,-770.0,2.0
644,-760.0,1.0
645,-750.0,12.0
646,-740.0,1.0
647,-730.0,2.0
648,-720.0,1.0
649,-700.0,13.0
650,-695.0,1.0
651,-690.0,1.0
652,-680.0,1.0
653,-670.0,4.0
654,-665.0,1.0
655,-660.0,1.0
656,-657.0,1.0
657,-650.0,15.0
658,-640.0,3.0
659,-630.0,1.0
660,-620.0,4.0
661,-610.0,3.0
662,-600.0,11.0
663,-590.0,6.0
664,-585.0,1.0
665,-580.0,5.0
666,-560.0,2.0
667,-550.0,27.0
668,-531.0,1.0
669,-530.0,3.0
670,-520.0,3.0
671,-510.0,2.0
672,-500.0,7.0
673,-490.0,3.0
674,-480.0,1.0
675,-479.0,1.0
676,-475.0,1.0
677,-470.0,2.0
678,-460.0,1.0
679,-450.0,8.0
680,-442.0,1.0
681,-440.0,3.0
682,-433.0,1.0
683,-430.0,2.0
684,-425.0,1.0
685,-420.0,2.0
686,-410.0,2.0
687,-400.0,14.0
688,-396.0,1.0
689,-390.0,3.0
690,-380.0,2.0
691,-370.0,4.0
692,-360.0,3.0
693,-350.0,16.0
694,-345.0,1.0
695,-340.0,1.0
696,-330.0,2.0
697,-325.0,1.0
698,-320.0,3.0
699,-310.0,2.0
700,-300.0,10.0
701,-290.0,2.0
702,-280.0,2.0
703,-270.0,8.0
704,-260.0,3.0
705,-258.0,1.0
706,-253.0,1.0
707,-250.0,10.0
708,-240.0,1.0
709,-230.0,4.0
710,-220.0,5.0
711,-217.0,1.0
712,-215.0,1.0
713,-210.0,4.0
714,-208.0,1.0
715,-200.0,16.0
716,-197.0,1.0
717,-190.0,3.0
718,-183.0,1.0
719,-180.0,3.0
720,-171.0,1.0
721,-170.0,3.0
722,-160.0,3.0
723,-150.0,12.0
724,-141.0,1.0
725,-135.0,1.0
726,-130.0,1.0
727,-126.0,2.0
728,-122.0,1.0
729,-120.0,2.0
730,-104.0,1.0
731,-100.0,12.0
732,-91.0,2.0
733,-90.0,4.0
734,-80.0,9.0
735,-60.0,2.0
736,-54.0,1.0
737,-50.0,32.0
738,-49.0,1.0
739,-44.0,1.0
740,-40.0,1.0
741,-36.0,1.0
742,-32.0,1.0
743,-30.0,1.0
744,-24.0,1.0
745,-20.0,1.0
746,-10.0,1.0
747,-6.0,1.0
748,0.0,1.0
749,1.0,1.0
750,10.0,6.0
751,20.0,1.0
752,30.0,3.0
753,39.0,1.0
754,40.0,7.0
755,46.0,1.0
756,50.0,15.0
757,60.0,2.0
758,70.0,5.0
759,79.0,1.0
760,80.0,4.0
761,90.0,7.0
762,100.0,11.0
763,110.0,3.0
764,120.0,5.0
765,130.0,3.0
766,140.0,3.0
767,144.0,1.0
768,145.0,1.0
769,150.0,18.0
770,160.0,3.0
771,170.0,3.0
772,172.0,1.0
773,180.0,3.0
774,190.0,8.0
775,200.0,17.0
776,203.0,1.0
777,210.0,3.0
778,220.0,5.0
779,222.0,1.0
780,230.0,3.0
781,233.0,1.0
782,240.0,3.0
783,250.0,18.0
784,252.0,1.0
785,256.0,1.0
786,260.0,6.0
787,270.0,5.0
788,280.0,1.0
789,290.0,5.0
790,295.0,1.0
791,300.0,6.0
792,310.0,1.0
793,320.0,3.0
794,330.0,3.0
795,340.0,5.0
796,350.0,17.0
797,370.0,5.0
798,379.0,1.0
799,380.0,3.0
800,390.0,5.0
801,400.0,13.0
802,410.0,3.0
803,416.0,1.0
804,417.0,1.0
805,420.0,3.0
806,430.0,2.0
807,440.0,6.0
808,450.0,9.0
809,460.0,2.0
810,470.0,4.0
811,472.0,1.0
812,480.0,8.0
813,490.0,2.0
814,500.0,7.0
815,505.0,1.0
816,512.0,1.0
817,520.0,7.0
818,526.0,1.0
819,530.0,2.0
820,536.0,1.0
821,540.0,6.0
822,550.0,20.0
823,560.0,1.0
824,570.0,2.0
825,580.0,3.0
826,590.0,3.0
827,600.0,13.0
828,610.0,3.0
829,620.0,1.0
830,625.0,1.0
831,630.0,4.0
832,639.0,1.0
833,640.0,6.0
834,641.0,1.0
835,648.0,1.0
836,650.0,9.0
837,653.0,1.0
838,654.0,1.0
839,660.0,1.0
840,670.0,1.0
841,675.0,1.0
842,680.0,6.0
843,683.0,1.0
844,684.0,1.0
845,685.0,2.0
846,686.0,1.0
847,690.0,3.0
848,700.0,16.0
849,706.0,1.0
850,708.0,1.0
851,710.0,3.0
852,711.0,1.0
853,713.0,1.0
854,716.0,1.0
855,720.0,4.0
856,726.0,1.0
857,729.0,1.0
858,730.0,3.0
859,740.0,2.0
860,742.0,1.0
861,750.0,12.0
862,760.0,1.0
863,764.0,1.0
864,766.0,1.0
865,770.0,4.0
866,771.0,1.0
867,778.0,1.0
868,780.0,5.0
869,781.0,1.0
870,787.0,1.0
871,788.0,1.0
872,790.0,2.0
873,800.0,11.0
874,806.0,1.0
875,807.0,1.0
876,810.0,1.0
877,813.0,1.0
878,817.0,1.0
879,820.0,4.0
880,822.0,1.0
881,823.0,1.0
882,826.0,1.0
883,830.0,6.0
884,832.0,1.0
885,837.0,2.0
886,838.0,2.0
887,840.0,2.0
888,843.0,1.0
889,847.0,1.0
890,850.0,17.0
891,854.0,1.0
892,856.0,1.0
893,857.0,1.0
894,858.0,1.0
895,860.0,3.0
896,864.0,2.0
897,867.0,2.0
898,870.0,5.0
899,871.0,1.0
900,874.0,1.0
901,875.0,1.0
902,880.0,5.0
903,884.0,1.0
904,885.0,1.0
905,886.0,2.0
906,887.0,1.0
907,890.0,3.0
908,900.0,11.0
909,905.0,1.0
910,910.0,6.0
911,915.0,1.0
912,920.0,6.0
913,925.0,1.0
914,930.0,3.0
915,932.0,1.0
916,934.0,1.0
917,937.0,1.0
918,939.0,1.0
919,940.0,4.0
920,942.0,1.0
921,945.0,1.0
922,950.0,26.0
923,960.0,4.0
924,968.0,1.0
925,970.0,4.0
926,980.0,2.0
927,989.0,1.0
928,990.0,1.0
929,991.0,1.0
930,999.0,2.0
931,1000.0,13.0
932,1002.0,1.0
933,1006.0,1.0
934,1007.0,1.0
935,1010.0,5.0
936,1020.0,4.0
937,1030.0,8.0
938,1033.0,1.0
939,1034.0,1.0
940,1037.0,1.0
941,1040.0,4.0
942,1042.0,1.0
943,1050.0,15.0
944,1060.0,5.0
945,1063.0,1.0
946,1070.0,3.0
947,1075.0,2.0
948,1080.0,3.0
949,1082.0,1.0
950,1083.0,1.0
951,1085.0,1.0
952,1090.0,4.0
953,1100.0,6.0
954,1104.0,1.0
955,1108.0,1.0
956,1110.0,4.0
957,1111.0,1.0
958,1112.0,1.0
959,1113.0,1.0
960,1120.0,3.0
961,1130.0,3.0
962,1139.0,1.0
963,1140.0,3.0
964,1150.0,15.0
965,1151.0,1.0
966,1154.0,1.0
967,1157.0,1.0
968,1158.0,1.0
969,1159.0,1.0
970,1160.0,5.0
971,1164.0,1.0
972,1167.0,1.0
973,1168.0,1.0
974,1170.0,4.0
975,1175.0,1.0
976,1176.0,1.0
977,1177.0,1.0
978,1179.0,1.0
979,1180.0,4.0
980,1183.0,2.0
981,1184.0,1.0
982,1188.0,1.0
983,1190.0,7.0
984,1194.0,1.0
985,1198.0,1.0
986,1200.0,13.0
987,1206.0,1.0
988,1210.0,4.0
989,1211.0,2.0
990,1220.0,2.0
991,1222.0,1.0
992,1223.0,1.0
993,1224.0,1.0
994,1226.0,1.0
995,1227.0,1.0
996,1230.0,8.0
997,1231.0,1.0
998,1235.0,1.0
999,1238.0,1.0
1000,1239.0,2.0
1001,1240.0,5.0
1002,1245.0,2.0
1003,1250.0,11.0
1004,1253.0,1.0
1005,1256.0,1.0
1006,1257.0,1.0
1007,1259.0,1.0
1008,1260.0,5.0
1009,1262.0,1.0
1010,1265.0,1.0
1011,1269.0,2.0
1012,1270.0,6.0
1013,1271.0,1.0
1014,1272.0,2.0
1015,1273.0,1.0
1016,1274.0,1.0
1017,1279.0,1.0
1018,1280.0,3.0
1019,1281.0,1.0
1020,1282.0,1.0
1021,1284.0,1.0
1022,1286.0,1.0
1023,1290.0,7.0
1024,1300.0,10.0
1025,1302.0,1.0
1026,1305.0,1.0
1027,1307.0,1.0
1028,1310.0,5.0
1029,1311.0,2.0
1030,1320.0,2.0
1031,1324.0,1.0
1032,1325.0,2.0
1033,1329.0,1.0
1034,1330.0,3.0
1035,1331.0,3.0
1036,1332.0,1.0
1037,1333.0,1.0
1038,1334.0,1.0
1039,1335.0,1.0
1040,1338.0,1.0
1041,1340.0,12.0
1042,1341.0,3.0
1043,1343.0,1.0
1044,1345.0,1.0
1045,1350.0,26.0
1046,1354.0,2.0
1047,1357.0,1.0
1048,1360.0,6.0
1049,1361.0,1.0
1050,1362.0,1.0
1051,1369.0,1.0
1052,1370.0,5.0
1053,1372.0,1.0
1054,1375.0,3.0
1055,1376.0,2.0
1056,1377.0,1.0
1057,1380.0,4.0
1058,1381.0,1.0
1059,1384.0,1.0
1060,1385.0,1.0
1061,1387.0,1.0
1062,1388.0,1.0
1063,1389.0,1.0
1064,1390.0,3.0
1065,1392.0,1.0
1066,1395.0,2.0
1067,1397.0,1.0
1068,1400.0,10.0
1069,1402.0,1.0
1070,1404.0,2.0
1071,1408.0,2.0
1072,1410.0,4.0
1073,1411.0,1.0
1074,1413.0,1.0
1075,1415.0,1.0
1076,1416.0,2.0
