Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
Kuchinoerabujima,,1110.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,1100.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,970.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,600.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,-1140.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,-1450.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,-3480.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,-9520.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoshima,,1190.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",29.968,129.926,628,Stratovolcano(es),
Kuchinoshima,,750.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",29.968,129.926,628,Stratovolcano(es),
Kuchinoshima,,-900.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",29.968,129.926,628,Stratovolcano(es),
Kuchinoshima,,-6750.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",29.968,129.926,628,Stratovolcano(es),
Kueishantao,0.0,1785.0,0.0,0.0,,,,Taiwan,"Japan, Taiwan, Marianas",24.841,121.953,361,Stratovolcano,
Kujusan,1.0,1995.0,10.0,11.0,1996.0,3.0,24.0,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
