,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
482,Hasan Dagi,Turkey,Turkey,38.13,34.17,3253.0,Stratovolcano,Holocene
483,Haut Dong Nai,Vietnam,SE Asia,11.6,108.2,1000.0,Volcanic field,Holocene
484,Hayes,United States,Alaska-SW,61.62,-152.48,2788.0,Stratovolcano,Radiocarbon
485,"Haylan, Jabal",Yemen,Arabia-S,15.43,44.78,1550.0,Volcanic field,Anthropology
486,Hayli Gubbi,Ethiopia,Africa-NE,13.5,40.72,521.0,Shield volcano,Holocene
487,Healy,New Zealand,New Zealand,-35.004,178.97299999999998,980.0,Submarine volcano,Radiocarbon
488,Heard,Heard I. & McDonald Is.,Indian O-S,-53.106,73.513,2745.0,Stratovolcano,Historical
489,Heart Peaks,Canada,Canada,58.6,-131.97,2012.0,Shield volcano,Holocene
490,Hekla,Iceland,Iceland-S,63.98,-19.7,1491.0,Stratovolcano,Historical
491,Hell's Half Acre,United States,US-Idaho,43.5,-112.45,1631.0,Shield volcano,Radiocarbon
492,Hengill,Iceland,Iceland-SW,64.18,-21.33,803.0,Crater rows,Radiocarbon
493,Herbert,United States,Aleutian Is,52.75,-170.12,1290.0,Stratovolcano,Holocene
494,Hertali,Ethiopia,Africa-NE,9.78,40.33,900.0,Fissure vent,Holocene
495,Hierro,Spain,Canary Is,27.73,-18.03,1500.0,Shield volcano,Historical
496,Hijiori,Japan,Honshu-Japan,38.6,140.18,516.0,Caldera,Radiocarbon
497,Hiri,Indonesia,Halmahera-Indonesia,0.88,127.32,630.0,Stratovolcano,Holocene
498,Hiuchi,Japan,Honshu-Japan,36.95,139.28,2346.0,Stratovolcano,Historical
499,Hobicha Caldera,Ethiopia,Africa-NE,6.78,37.83,1800.0,Caldera,Holocene
500,Hodson,Antarctica,Antarctica,-56.7,-27.15,1005.0,Stratovolcano,Holocene
501,Hofsjokull,Iceland,Iceland-SW,64.78,-18.92,1782.0,Subglacial volcano,Holocene
502,Homa Mountain,Kenya,Africa-E,-0.38,34.5,1751.0,Complex volcano,Holocene
503,Home Reef,Tonga,Tonga-SW Pacific,-18.992,-174.775,-2.0,Submarine volcano,Historical
504,Honggeertu,China,China-E,41.47,113.0,1700.0,Cinder cone,Holocene
505,Hood,United States,US-Oregon,45.373999999999995,-121.694,3426.0,Stratovolcano,Historical
506,Hoodoo Mountain,Canada,Canada,56.78,-131.28,1820.0,Subglacial volcano,Holocene
