,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country_x,Region_x,Latitude,Longitude_x,Elevation_x,Primary Volcano Type_x,Status,Country_y,Region_y,Longitude_y,Elevation_y,Primary Volcano Type_y
7974,Shikotsu,3.0,1874.0,2.0,8.0,1874.0,2.0,16.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7975,Shikotsu,2.0,1867.0,9.0,8.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7976,Shikotsu,3.0,1804.0,0.0,0.0,1817.0,0.0,0.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7977,Shikotsu,5.0,1739.0,8.0,19.0,1739.0,8.0,31.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7978,Shikotsu,2.0,1707.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7979,Shikotsu,5.0,1667.0,9.0,23.0,1667.0,9.0,26.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7980,Shikotsu,2.0,1550.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7981,Shikotsu,2.0,1500.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7982,Shikotsu,3.0,-50.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7983,Shikotsu,2.0,-100.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7984,Shikotsu,5.0,-550.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7985,Shikotsu,5.0,-6950.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7986,Shiretoko-Iozan,1.0,1935.0,12.0,0.0,1936.0,10.0,0.0,Japan,"Japan, Taiwan, Marianas",44.133,145.161,1562,Stratovolcano,,Japan,"Japan, Taiwan, Marianas",145.161,1562,Stratovolcano
7987,Shiretoko-Iozan,1.0,1890.0,6.0,15.0,,,,Japan,"Japan, Taiwan, Marianas",44.133,145.161,1562,Stratovolcano,,Japan,"Japan, Taiwan, Marianas",145.161,1562,Stratovolcano
