,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
4760,Acatenango,,1450.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4761,Acatenango,,90.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4762,Acatenango,,-260.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4763,Acatenango,,-370.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4764,Acatenango,,-2710.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4765,Mariveles,,-2050.0,0.0,0.0,,,,Philippines,Philippines and SE Asia,14.52,120.47,1388,Stratovolcano,
4766,"Dhamar, Harras of",2.0,1937.0,0.0,0.0,,,,Yemen,Middle East and Indian Ocean,14.57,44.67,3500,Volcanic field,Historical
4767,Atitlan,3.0,1853.0,5.0,3.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4768,Atitlan,2.0,1843.0,7.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4769,Atitlan,2.0,1837.0,6.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4770,Atitlan,2.0,1833.0,0.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4771,Atitlan,3.0,1827.0,9.0,1.0,1828.0,1.0,0.0,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4772,Atitlan,2.0,1827.0,3.0,27.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4773,Atitlan,2.0,1826.0,11.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4774,Atitlan,,1717.0,8.0,29.0,1721.0,0.0,0.0,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4775,Atitlan,2.0,1663.0,0.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4776,Atitlan,2.0,1579.0,0.0,0.0,1581.0,12.0,31.0,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4777,Atitlan,3.0,1505.0,0.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4778,Atitlan,3.0,1469.0,0.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4779,Atitlan,,-1020.0,0.0,0.0,,,,Guatemala,México and Central America,14.583,-91.186,3535,Stratovolcano(es),Historical
4780,NW Rota-1,0.0,2003.0,7.0,2.0,2010.0,3.0,16.0,United States,"Japan, Taiwan, Marianas",14.601,144.775,-517,Submarine,
4781,Santa Maria,3.0,1922.0,6.0,22.0,2018.0,2.0,6.0,Guatemala,México and Central America,14.757,-91.552,3745,Stratovolcano,
4782,Santa Maria,2.0,1903.0,0.0,0.0,1913.0,0.0,0.0,Guatemala,México and Central America,14.757,-91.552,3745,Stratovolcano,
4783,Santa Maria,6.0,1902.0,10.0,24.0,1902.0,11.0,12.0,Guatemala,México and Central America,14.757,-91.552,3745,Stratovolcano,
4784,Almolonga,2.0,1818.0,1.0,16.0,1818.0,6.0,19.0,Guatemala,México and Central America,14.797,-91.519,3173,Stratovolcano,
4785,Almolonga,2.0,1765.0,10.0,24.0,1765.0,10.0,25.0,Guatemala,México and Central America,14.797,-91.519,3173,Stratovolcano,
4786,Almolonga,3.0,800.0,0.0,0.0,,,,Guatemala,México and Central America,14.797,-91.519,3173,Stratovolcano,
4787,Pelee,3.0,1929.0,9.0,16.0,1932.0,12.0,1.0,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4788,Pelee,4.0,1902.0,4.0,23.0,1905.0,10.0,5.0,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4789,Pelee,2.0,1851.0,8.0,5.0,1852.0,2.0,1.0,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4790,Pelee,1.0,1792.0,1.0,22.0,1792.0,4.0,0.0,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4791,Pelee,,1635.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4792,Pelee,,1460.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4793,Pelee,,1370.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4794,Pelee,4.0,1340.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4795,Pelee,,1260.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4796,Pelee,,1190.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4797,Pelee,,910.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4798,Pelee,4.0,890.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4799,Pelee,,720.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4800,Pelee,,650.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4801,Pelee,4.0,450.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4802,Pelee,4.0,350.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4803,Pelee,4.0,300.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4804,Pelee,,220.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4805,Pelee,4.0,130.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4806,Pelee,4.0,50.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4807,Pelee,4.0,10.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4808,Pelee,4.0,-200.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4809,Pelee,,-300.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4810,Pelee,4.0,-440.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4811,Pelee,4.0,-590.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4812,Pelee,,-600.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4813,Pelee,,-620.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4814,Pelee,,-730.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4815,Pelee,,-890.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4816,Pelee,,-1390.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4817,Pelee,,-2100.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4818,Pelee,,-2280.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4819,Pelee,,-2360.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4820,Pelee,4.0,-2430.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4821,Pelee,,-2460.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4822,Pelee,4.0,-2660.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4823,Pelee,,-3020.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4824,Pelee,,-3120.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4825,Pelee,,-3250.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4826,Pelee,,-3290.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4827,Pelee,4.0,-3430.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4828,Pelee,4.0,-3500.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4829,Pelee,4.0,-3820.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4830,Pelee,,-3930.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4831,Pelee,,-4510.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4832,Pelee,4.0,-5500.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4833,Pelee,,-5800.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4834,Pelee,4.0,-6220.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4835,Pelee,,-6450.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4836,Pelee,4.0,-6610.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4837,Pelee,,-7050.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4838,Pelee,,-7320.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4839,Pelee,,-7750.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4840,Pelee,4.0,-8210.0,0.0,0.0,,,,France,West Indies,14.809,-61.165,1394,Stratovolcano,
4841,Fogo,3.0,2014.0,11.0,23.0,2015.0,2.0,8.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4842,Fogo,2.0,1995.0,4.0,2.0,1995.0,5.0,26.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4843,Fogo,2.0,1951.0,6.0,12.0,1951.0,8.0,21.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4844,Fogo,,1909.0,0.0,0.0,,,,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4845,Fogo,2.0,1857.0,6.0,27.0,1857.0,12.0,15.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4846,Fogo,2.0,1852.0,2.0,19.0,1852.0,3.0,30.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4847,Fogo,2.0,1847.0,4.0,9.0,1847.0,5.0,2.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4848,Fogo,,1816.0,12.0,31.0,,,,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4849,Fogo,2.0,1799.0,6.0,2.0,1799.0,6.0,28.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4850,Fogo,2.0,1785.0,1.0,24.0,1785.0,2.0,25.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4851,Fogo,,1769.0,4.0,0.0,,,,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4852,Fogo,1.0,1500.0,0.0,0.0,1761.0,0.0,0.0,Cape Verde,Atlantic Ocean,14.95,-24.35,2829,Stratovolcano,Historical
4853,Zubair Group,2.0,2013.0,9.0,28.0,2013.0,11.0,20.0,Yemen,Africa and Red Sea,15.05,42.18,191,Shield,
4854,Zubair Group,2.0,2011.0,12.0,18.0,2012.0,1.0,12.0,Yemen,Africa and Red Sea,15.05,42.18,191,Shield,
4855,Zubair Group,2.0,1824.0,0.0,0.0,,,,Yemen,Africa and Red Sea,15.05,42.18,191,Shield,
4856,Pinatubo,1.0,1993.0,2.0,16.0,1993.0,7.0,16.0,Philippines,Philippines and SE Asia,15.13,120.35,1486,Stratovolcano,Historical
