,city,lat,lng,pop,country,time,dist,risk
1113,Linhares,-19.38999347,-40.05002079,86413.0,Brazil,125.0,673.4463750832958,1.602079052250142
1114,Campos,-21.74995278,-41.32002079,378943.0,Brazil,185.0,588.9359136917693,1.8398909956392824
1115,Mossoro,-5.190033347,-37.34000533,202294.0,Brazil,1900.0,79.17212502105122,4.541700445634327
1116,Aracaju,-10.90002073,-37.11996708,587765.5,Brazil,53.0,236.7118935892461,3.4466062935431325
1117,Laranjal do Jari,-0.8500398570000001,-52.48001144,43344.0,Brazil,68.0,786.7185667420438,1.4184624486039334
1118,Amapa,2.049989847,-50.80001062,1947.0,Brazil,86.0,116.95311202105611,3.9944330884464914
1119,Vila Velha,3.21666282,-51.21665186,742413.5,Brazil,27.0,276.1253365869675,3.359782346844401
1120,Santos,-23.95372393,-46.33294266,1060201.5,Brazil,3170.0,55.05832269183343,5.124620679204211
1121,Bauru,-22.33002073,-49.08001225,307929.5,Brazil,3220.0,454.3787855072048,1.890070170863451
1122,Iguape,-24.72000405,-47.56994938,23602.5,Brazil,192.0,675.2329956957203,1.4421266136923128
1123,Franca,-20.53002724,-47.39001205,281149.5,Brazil,8.0,30.131893365739156,6.874316330077978
1124,Garanhuns,-8.890014222000001,-36.50003076,107115.0,Brazil,2820.0,633.992884600401,1.3316072473601528
1125,Caruaru,-8.280025616,-35.98001083,238732.5,Brazil,820.0,564.4846860997767,1.6867831598633198
1126,Rio Branco,-9.966589336,-67.80000655,257642.0,Brazil,210.0,325.52531428702855,2.696161243293629
1127,São Luís,-2.515984681,-44.26599085,524692.5,Brazil,160.0,595.8541004397147,1.8623669915299113
1128,Porto Velho,-8.750022767,-63.90001205,289534.5,Brazil,196.0,516.1048327219073,2.0155574189463854
1129,Alvorada,-12.47000242,-49.08200179,9273.0,Brazil,5.0,520.4811626650692,2.5199026667023303
1130,Corumba,-19.01601113,-57.65000594,70035.5,Brazil,4.0,213.17056240465493,4.0838649070498585
1131,Belo Horizonte,-19.91502602,-43.91500452,3974112.0,Brazil,7410.0,135.35680771473312,3.7816569601199186
1132,Montes Claros,-16.72002724,-43.86002079,300022.0,Brazil,7.0,332.1235516979375,3.352678857604255
1133,Uberlandia,-18.89999754,-48.27998356,484862.0,Brazil,24.0,416.5371081414638,2.738960789813342
1134,Colider,-10.81728676,-55.45057947,27139.0,Brazil,21.0,129.19269656217682,4.343267224663918
1135,Alta Floresta,-9.900030091,-55.90998295,40466.0,Brazil,2970.0,562.6181566955117,1.4409427082107291
1136,Cuiaba,-15.56960651,-56.08498519,603143.5,Brazil,116.0,953.6989222121016,1.205877359577548
1137,Pelotas,-31.75001422,-52.33002059,299270.0,Brazil,49.0,425.8309926166855,2.5340802782454888
1138,Caxias do Sul,-29.17999022,-51.17003972,377580.5,Brazil,32.0,466.742827151569,2.4918415112338654
1139,Ponta Grossa,-25.09000731,-50.16004968,271321.5,Brazil,1020.0,349.08263579024674,2.397909505267079
1140,Teresina,-5.095000388,-42.7800092,746860.5,Brazil,35.0,220.48221558927145,3.646481297772416
1141,Maceio,-9.619995505,-35.72997441,1000215.5,Brazil,157.0,652.9616916526013,1.7627882641278265
1142,Vitoria da Conquista,-14.85001219,-40.83999841,272320.5,Brazil,2770.0,592.5402117817106,1.4947377411756837
1143,Barreiras,-12.13999673,-45.00000289,86245.5,Brazil,3070.0,113.38052312011948,3.9050824995636115
1144,Vila Velha,-20.36760822,-40.31798893,742413.5,Brazil,1070.0,16.530683059820227,6.92507973251425
1145,Natal,-5.780023174,-35.24000431,925521.5,Brazil,4240.0,117.71169827666401,3.9632797884116555
1146,Campinas,-22.90001178,-47.10002975,1911277.0,Brazil,170.0,547.6107049633991,2.052615595294446
1147,Sorocaba,-23.49000161,-47.46998132,561071.5,Brazil,140.0,132.6479063109829,4.153200390481696
1148,Ribeirao Preto,-21.17003986,-47.82998519,520774.0,Brazil,68.0,935.0794319414803,1.3155121072824996
1149,Petrolina,-9.380010152999999,-40.50996688,227817.5,Brazil,760.0,186.9110943252136,3.36263303836584
1150,Cruzeiro do Sul,-7.629987774,-72.66996769,56862.0,Brazil,6.0,273.0557416418761,3.5828858787359836
1151,Manaus,-3.100031719,-60.00001754,1636622.0,Brazil,456.0,737.7330069890294,1.4601788579470856
1152,Caxias,-4.833000876,-43.35002608,134640.0,Brazil,33.0,190.48919071744234,3.7754921413501523
1153,Santarem,-2.433250713,-54.69997929,209737.5,Brazil,8.0,334.31570761288305,3.2852216251999162
1154,Maraba,-5.349971905,-49.11597905,166182.0,Brazil,14.0,398.03814859517246,2.8655234213306833
1155,Vilhena,-12.71660236,-60.11659957,63231.0,Brazil,8070.0,456.5115024166289,1.6993311556932502
1156,Ji-Parana,-10.83330646,-61.96700342,65016.0,Brazil,155.0,114.72850763137036,4.220011023735236
1157,Campo Grande,-20.45003213,-54.61662521,687723.0,Brazil,361.0,48.54226011382004,5.523073605546964
1158,Florianopolis,-27.57998452,-48.52002059,568783.0,Brazil,51.0,633.1412861477612,1.963554373139049
1159,Feira de Santana,-12.25001585,-38.9700092,449194.5,Brazil,8220.0,562.3777916280405,1.506002469977495
1160,Boa Vista,2.816092955,-60.66599756,202299.5,Brazil,36.0,505.6489412658619,2.3090873811270383
1161,Macapá,0.033007018,-51.0500212,433781.5,Brazil,109.0,874.7890298023115,1.3276763881688272
1162,Belem,-1.450003236,-48.48002303,1787368.5,Brazil,1580.0,354.1717390139255,2.436253672041882
1163,Brasilia,-15.78334023,-47.91605229,3139979.5,Brazil,111.0,1007.5866582069285,1.2182436293628247
1164,Porto Alegre,-30.05001463,-51.20001205,2644870.5,Brazil,10060.0,81.32739312437495,4.495455717346229
1165,Curitiba,-25.420013,-49.3199976,2291430.0,Brazil,321.0,518.3352543935127,2.057520791229864
1166,Fortaleza,-3.7500178839999996,-38.57998132,2958717.5,Brazil,470.0,113.74374662281298,4.308218015965347
1167,Salvador,-12.969971899999999,-38.47998743,3081422.5,Brazil,97.0,655.6797709327565,1.890642718989436
1168,Goiania,-16.72002724,-49.30002466,1596597.5,Brazil,159.0,10.237678246861734,7.83906651883177
1169,Recife,-8.075645326,-34.91560551,2564549.0,Brazil,74.0,170.27546436524003,3.9635880114865394
